L,D=1,D=1/L,t_D1,t_D0,numerator_gamma,var_D,gamma,mean_daf_diff
1205,619,0.5136929460580912,0.14719386106623583,-0.1897423208191126,-0.020691616112187377,0.24981250322825022,-0.08282858481779727,-0.01666058091286307
1139,581,0.5100965759438104,0.1801944922547332,-0.17041935483870968,0.004788873290729692,0.24989805915421084,0.019163307257918726,0.008427568042142227
1156,567,0.49048442906574397,0.15981128747795414,-0.16030050933786077,-0.00024926615526384523,0.2499094539097952,-0.000997425873107697,-0.003290657439446367
1312,661,0.5038109756097561,0.13849470499243569,-0.1457711213517665,-0.0036104779343935716,0.24998547646490188,-0.014442750776765566,-0.002554878048780485
1292,607,0.4698142414860681,0.1594481054365733,-0.1324029197080292,0.014338972309638327,0.24908881998293855,0.057565700100953875,0.004712848297213622
1178,582,0.4940577249575552,0.14850515463917527,-0.13680033557046978,0.005921962788581046,0.24996468936731997,0.02369119735899496,0.004157045840407471
1209,590,0.4880066170388751,0.15771864406779662,-0.17066235864297255,-0.006627096213427543,0.24985615876514783,-0.02652364562947067,-0.010410256410256412
1209,600,0.49627791563275436,0.14984999999999998,-0.15339244663382595,-0.0017844086021505498,0.24998614608796307,-0.007138029967159327,-0.0028999172870140585
1292,679,0.5255417956656346,0.16983505154639175,-0.16012398042414355,0.00460749736682519,0.24934761667417496,0.018478208968990682,0.013283281733746129
1305,659,0.5049808429118774,0.1543732928679818,-0.1543467492260062,1.313961127681119e-05,0.24997519120388723,5.256366127186649e-05,0.001550957854406129
1264,623,0.49287974683544306,0.16808828250401284,-0.15576911076443056,0.006247301491354619,0.24994930199487259,0.024994274604866768,0.0038536392405063265
1212,615,0.5074257425742574,0.1457951219512195,-0.15158793969849244,-0.002853392900265633,0.24994485834722088,-0.011416089609259848,-0.0006881188118811867
1205,571,0.4738589211618257,0.16866900175131347,-0.18704731861198737,-0.009669587460304774,0.24931664399717637,-0.038784363952910766,-0.018487966804979255
1253,621,0.49561053471668,0.14902093397745572,-0.16664082278481013,-0.008887286293893045,0.24998073259452658,-0.035551885145917984,-0.010195530726256983
1130,546,0.4831858407079646,0.17710989010989012,-0.15407020547945205,0.01190723524263348,0.2497172840473021,0.04768286379559526,0.005951327433628317
1261,624,0.4948453608247423,0.15374999999999997,-0.16716169544740972,-0.006774980174464719,0.24997342969497285,-0.027102801216640538,-0.008360031720856465
1202,587,0.48835274542429286,0.15626064735945486,-0.16632682926829268,-0.005150334337716521,0.24986434146084874,-0.02061252240957931,-0.008790349417637271
1346,693,0.5148588410104011,0.14807359307359308,-0.154260336906585,-0.003001444073509453,0.2497792148438276,-0.012016388454844337,0.00139895988112927
1155,600,0.5194805194805194,0.16390833333333332,-0.1803117117117117,-0.007882142857142858,0.24962050936076907,-0.03157650337837839,-0.0014961038961038974
1215,597,0.49135802469135803,0.1724036850921273,-0.14648220064724918,0.013184755050975048,0.24992531626276485,0.052754779900380105,0.010204938271604942
1238,615,0.49676898222940225,0.1376926829268293,-0.17569502407704654,-0.019123956814689296,0.24998956052416607,-0.07649902169751051,-0.02001373182552504
1164,572,0.49140893470790376,0.17636363636363636,-0.14750337837837837,0.014678069353327085,0.24992619359714688,0.058729615900070455,0.011647766323024054
1168,587,0.502568493150685,0.1513304940374787,-0.16237865748709118,-0.005495704592658266,0.2499934028429349,-0.021983398482363515,-0.0047183219178082185
1129,554,0.49069973427812225,0.15238086642599277,-0.16071652173913042,-0.004245351465946989,0.2499135050575024,-0.016987283120094607,-0.007079716563330381
1216,595,0.48930921052631576,0.1397310924369748,-0.1544734299516908,-0.007528775984077833,0.2498857070204294,-0.030128878013268353,-0.010516447368421052
1159,578,0.4987057808455565,0.1387439446366782,-0.1502512908777969,-0.005768566148481424,0.24999832499678032,-0.023074419192831458,-0.00612769628990509
1195,558,0.46694560669456064,0.1481415770609319,-0.12951648351648354,0.009928187939592974,0.24890740708320933,0.03988707309250141,0.000134728033472803
1278,625,0.4890453834115806,0.1560384,-0.13769525267993873,0.009372515805946795,0.24987999637540068,0.037508067640061274,0.0059538341158059446
1172,570,0.4863481228668942,0.16390175438596494,-0.13358637873754153,0.015571549607807926,0.24981362625074258,0.062332667122723215,0.01109641638225256
1188,560,0.4713804713804714,0.14102321428571427,-0.14342675159235668,-0.001270556758056766,0.249180922581596,-0.005098932714805699,-0.009342592592592595
1321,697,0.5276305828917487,0.15867431850789096,-0.20165865384615383,-0.02030448542852084,0.2492365508890622,-0.08146672450766895,-0.011535957607872821
1163,567,0.48753224419604474,0.141673721340388,-0.16964765100671142,-0.014335736957118452,0.24984455506521294,-0.057378624694769204,-0.017868443680137576
