L,D=1,D=1/L,t_D1,t_D0,numerator_gamma,var_D,gamma,mean_daf_diff
2407,615,0.2555047777316161,0.14547317073170732,-0.052184709821428574,0.06945281344047341,0.19022208628793355,0.3651143502618552,-0.0016821769837972581
2473,604,0.24423776789324708,0.12849999999999998,-0.051077581594435525,0.05851293974929234,0.18458568062777145,0.31699609390225314,-0.007217953902143147
2498,665,0.26621297037630104,0.1307593984962406,-0.05224331696672122,0.057614082243238204,0.19534362477972775,0.2949371002417134,-0.003525620496397118
2329,610,0.26191498497209104,0.1465377049180328,-0.05184351367073879,0.0698923635698147,0.19331552561916035,0.36154552690975045,0.00011550021468441416
2332,645,0.2765866209262436,0.16820930232558137,-0.053098992294013034,0.08327233834616458,0.200086462050846,0.4161817720831278,0.008111921097770152
2462,605,0.24573517465475223,0.13954876033057853,-0.046715131933225636,0.07002114050929502,0.18534939859215066,0.3777791621723683,-0.0009435418359057678
2489,647,0.2599437525110486,0.1362241112828439,-0.04721444082519001,0.06587216270911951,0.1923729980415233,0.34241896409443673,0.00046926476496584853
2449,722,0.2948142098815843,0.12691274238227146,-0.051209612044006945,0.05338477178202646,0.20789879153348145,0.25678250165984734,0.0013033891384238465
2320,608,0.2620689655172414,0.1457516447368421,-0.05516413551401869,0.06684733439201451,0.19338882282996434,0.34566286413972086,-0.0025103448275862073
2480,668,0.2693548387096774,0.13859131736526945,-0.04955629139072847,0.06505301091365653,0.19680280957336113,0.3305491982288346,0.0011221774193548384
2400,637,0.2654166666666667,0.13215070643642074,-0.05061089052750993,0.059897789769754066,0.19497065972222227,0.30721437705084126,-0.002102916666666668
2405,592,0.24615384615384617,0.1480185810810811,-0.04513513513513513,0.07755829002079004,0.1855621301775148,0.4179639991554055,0.0024103950103950083
2439,699,0.2865928659286593,0.11900572246065809,-0.049033908045977015,0.04991839158734935,0.2044573951274568,0.2441505799104537,-0.0008749487494874958
2379,623,0.26187473728457333,0.14369341894060994,-0.048312642369020505,0.07040296076490588,0.19329635925670902,0.3642229012260214,0.0019688944934846573
2410,628,0.26058091286307056,0.1963550955414013,-0.053467714766984836,0.10559436728598992,0.1926740672509082,0.5480465990707537,0.011653526970954358
2364,616,0.26057529610829105,0.14585064935064934,-0.05446395881006865,0.06757357659261212,0.1926758111663675,0.3507112604511895,-0.0022669204737732654
2291,612,0.2671322566564819,0.12187745098039215,-0.04926801667659321,0.05321311226367457,0.19577261411009736,0.27181080717320816,-0.0035495416848537772
2384,662,0.27768456375838924,0.12366012084592146,-0.05206445993031359,0.05171465104726374,0.2005758468087023,0.25783089973234014,-0.0032684563758389263
2463,596,0.24198132358911897,0.12593959731543622,-0.0492710230316015,0.05811621120094171,0.1834263626231771,0.3168367423843706,-0.0068733252131546905
2381,568,0.23855522889542208,0.15413732394366197,-0.051799779371207944,0.0779243882023768,0.18164663166207487,0.42898889723065675,-0.0026724065518689633
2333,616,0.26403771967423917,0.12746266233766232,-0.052716365754222484,0.05501045487945401,0.1943218022634671,0.2830894641707226,-0.005142306043720533
2271,605,0.2664024658740643,0.15248264462809916,-0.05275270108043217,0.07316164066508728,0.1954321920502823,0.37435818478801935,0.0019225011008366358
2470,680,0.27530364372469635,0.1345220588235294,-0.04674078212290503,0.0636147713741367,0.19951154747660182,0.3188525786037385,0.0031615384615384613
2488,579,0.2327170418006431,0.15513989637305697,-0.046071241487689894,0.08368652016726918,0.17855982025620082,0.46867497988738044,0.0007540192926044991
2648,703,0.2654833836858006,0.12847226173541965,-0.049474035989717224,0.05802550946955862,0.1950019566725386,0.2975637294091323,-0.00223225075528701
2443,608,0.24887433483422022,0.14417598684210525,-0.045261035422343325,0.07429755868000947,0.1869359002950447,0.39744938539223407,0.0018849774866966827
2462,607,0.24654752233956134,0.1612784184514003,-0.05575094339622642,0.07950993754157092,0.18576184156778483,0.42802082963070537,-0.0022428919577579206
2380,632,0.26554621848739496,0.1344509493670886,-0.05414759725400458,0.0589791006275928,0.1950314243344397,0.3024081930840821,-0.004065966386554623
2488,588,0.23633440514469453,0.16772108843537412,-0.046262105263157896,0.09275404663473104,0.18048045408959795,0.5139284866198536,0.004309485530546624
2359,631,0.26748622297583724,0.1478985736925515,-0.05224131944444444,0.07007025660904154,0.1959373434939579,0.3576156303823844,0.0012933446375582862
2387,618,0.258902387934646,0.1436925566343042,-0.05275240248728095,0.06739553107921413,0.19187194145638406,0.3512526665840526,-0.0018923334729786347
2398,596,0.24854045037531275,0.16481208053691274,-0.05314539400665927,0.08391299796810539,0.18676809490254942,0.44928978909320105,0.001025854879065887
2347,626,0.26672347677886665,0.16602715654952074,-0.0552986635676932,0.08119460435523017,0.19558206371386,0.41514340739352923,0.0037341286749041328
2391,632,0.2643245503973233,0.1689382911392405,-0.05060545764639,0.08705456048261148,0.1944570824545762,0.4476800710148822,0.007425345043914679
2427,621,0.2558714462299135,0.14320933977455716,-0.052147286821705434,0.06776187376714059,0.19040124923412602,0.35588985912491317,-0.0021611042439225393
2420,636,0.2628099173553719,0.1467201257861635,-0.05368105381165919,0.06858748115806435,0.1937408646950345,0.3540165946199693,-0.0010136363636363646
2490,678,0.27228915662650605,0.14216519174041298,-0.057041390728476825,0.06194551302555353,0.19814777181013207,0.3126228090261372,-0.0027995983935742963
2448,631,0.2577614379084967,0.1477226624405705,-0.04778536048431481,0.0741773193033156,0.1913204790358409,0.3877123854023993,0.00260906862745098
2422,631,0.26052848885218827,0.12472900158478607,-0.04766275823562256,0.056988291427890934,0.19265339534858347,0.2958073556127956,-0.0027497935590421146
2535,651,0.25680473372781065,0.14234254992319506,-0.05659607218683652,0.06372637635317535,0.1908560624627989,0.3338975745954976,-0.005507692307692307
2362,608,0.2574089754445385,0.12002138157894737,-0.05237913340935005,0.05023052637149606,0.19114959480513147,0.26278123384307384,-0.00800169348010161
2399,629,0.2621925802417674,0.1413974562798092,-0.05253333333333333,0.06556460926021773,0.19344763110793178,0.3389269172473699,-0.0016861192163401424
2303,611,0.2653061224489796,0.14891816693944354,-0.04870508274231679,0.07362593941013394,0.1949187838400666,0.377726240435324,0.003725575336517585
2463,587,0.2383272431993504,0.15800851788756387,-0.04852078891257996,0.08339382036421836,0.1815273683483481,0.4594008116957161,0.0007007714169711723
2475,649,0.26222222222222225,0.1435870570107858,-0.049175246440306686,0.0696549357986646,0.19346172839506173,0.36004504031114914,0.0013713131313131315
2593,674,0.25993058233706134,0.14967062314540058,-0.054775403856175096,0.07022904967837397,0.1923666747029775,0.36507908548510637,-0.0016336290011569614
2427,603,0.2484548825710754,0.1481492537313433,-0.04793530701754386,0.0753153023510384,0.1867250538976685,0.4033486711018098,0.0007828594973217963
2363,613,0.2594159966144731,0.1373425774877651,-0.05030514285714286,0.06445853178315232,0.19211933731499278,0.33551298210792885,-0.0016263224714346178
2511,661,0.2632417363600159,0.14036006051437214,-0.046247567567567566,0.06933815689031798,0.19394552459817976,0.35751357002938927,0.002875348466746315
2335,542,0.23211991434689508,0.15674169741697414,-0.04843638392857143,0.08311910996626024,0.1782478712819079,0.4663119361173364,-0.0007897216274089939
2387,640,0.26811897779639715,0.1483546875,-0.05333371493989697,0.0695440465280687,0.19623119154181223,0.35439853359525925,0.0007427733556765814
2447,641,0.2619534123416428,0.13507956318252728,-0.053843853820598,0.05995573809057796,0.19333382210421204,0.31011510266558656,-0.004354720065386186
2441,661,0.27079065956575177,0.14960665658093797,-0.04863202247191011,0.07363164633923375,0.19746307825769688,0.3728881722543676,0.005049160180253994
2232,589,0.2638888888888889,0.1523276740237691,-0.05174010955569082,0.07404362384455762,0.19425154320987656,0.3811739285106124,0.0021111111111111118
2381,613,0.2574548509029819,0.1692120717781403,-0.052859162895927604,0.08639728807381439,0.1911718506495053,0.4519351974690839,0.00431415371692566
2518,651,0.2585385226370135,0.1387281105990783,-0.04531708623460096,0.0692606761272753,0.19169635494968396,0.36130408502266353,0.0022656870532168387
2459,594,0.24156161041073607,0.15059427609427609,-0.044171581769436995,0.08071505689948145,0.1832095987865078,0.44056128845922454,0.0028763725091500605
2416,636,0.2632450331125828,0.169877358490566,-0.05084943820224719,0.08769441147069848,0.19394708565413793,0.45215637644116097,0.007255794701986753
2396,668,0.27879799666110183,0.1754700598802395,-0.06385763888888889,0.08049510161646656,0.20106967371885806,0.40033437229831753,0.0028664440734557594
2355,590,0.2505307855626327,0.15916949152542373,-0.04934107648725212,0.08231301594155961,0.1877651110480029,0.4383829108727018,0.0028972399150743095
2457,630,0.2564102564102564,0.16202063492063493,-0.05792665571975916,0.07740321530321531,0.19066403681788302,0.4059665188834154,-0.0015299145299145305
2525,583,0.2308910891089109,0.17305145797598628,-0.050748197734294544,0.09406452728291698,0.17758039407901188,0.5297010842371725,0.0009251485148514854
2492,622,0.24959871589085073,0.15232475884244376,-0.05057807486631017,0.07635084230953845,0.1872991969164891,0.4076410554156349,6.621187800962976e-05
2449,584,0.2384646794610045,0.16158561643835614,-0.049861662198391415,0.08508173730401561,0.1815992761105649,0.4685136368727288,0.0005610453246222944
2411,610,0.2530070510161759,0.16511639344262294,-0.05480399777901166,0.08240258174623141,0.18899448315227405,0.43600522286060134,0.0008374118622977999
2519,643,0.2552600238189758,0.14394401244167962,-0.05397867803837954,0.06700078100063157,0.19010234405891172,0.3524458434866452,-0.0034569273521238594
2490,642,0.25783132530120484,0.15086604361370715,-0.06241071428571429,0.06564877453740194,0.19135433299462914,0.3430744081412807,-0.007421285140562249
2381,620,0.2603947921041579,0.16960806451612903,-0.060421919363997725,0.08075464158458766,0.1925893443491903,0.41931001872133,-0.000523309533809324
2488,649,0.2608520900321543,0.16001848998459167,-0.05031919521479065,0.08108400445404505,0.19280827715801122,0.4205421346490985,0.004547829581993569
2387,616,0.25806451612903225,0.15345454545454545,-0.05489666854884247,0.07312358609132802,0.1914672216441207,0.3819117730095991,-0.0011286133221617102
2424,626,0.25825082508250824,0.15277316293929713,-0.050728031145717466,0.07569189231223442,0.191557336426712,0.3951396157629985,0.0018263201320132005
2440,690,0.2827868852459016,0.14307536231884058,-0.04726971428571429,0.06871306723687336,0.2028184627788229,0.338790987247577,0.006557377049180327
2440,597,0.244672131147541,0.185179229480737,-0.050488876831253394,0.10173537702172063,0.1848076793872615,0.5504932336092798,0.007172540983606556
2510,644,0.25657370517928285,0.14225,-0.04897695605573418,0.06934163346613545,0.19074363898985727,0.36353313711196766,8.685258964143389e-05
2408,625,0.2595514950166113,0.1531728,-0.056528323051037575,0.07156025847176078,0.19218451645125323,0.3723518407889625,-0.002100083056478406
2472,622,0.25161812297734626,0.15389067524115754,-0.052344324324324315,0.07599544870394072,0.18830644316670336,0.40357327888490624,-0.0004518608414239486
2295,543,0.23660130718954248,0.1597476979742173,-0.04888755707762558,0.08463048664524127,0.18062112862574223,0.46855252920382695,0.00047581699346405175
2565,612,0.23859649122807017,0.16841013071895425,-0.04859190988223246,0.09123001375988991,0.18166820560172364,0.5021793079186132,0.0031840155945419097
2442,653,0.2674037674037674,0.12088667687595711,-0.051916713247624376,0.05052713551641576,0.19589899258203922,0.25792442753505146,-0.005708435708435709
2526,644,0.25494853523357086,0.15370962732919255,-0.054973432518597244,0.07356354656909754,0.18994977961582757,0.38727892560801824,-0.001769992082343627
2457,642,0.2612942612942613,0.12892367601246107,-0.05282258953168044,0.056216309305094365,0.19301957030894762,0.2912466814381277,-0.005333333333333334
2493,660,0.2647412755716005,0.17791969696969695,-0.0599683578832515,0.08672475112132151,0.19465333258032239,0.44553437627652803,0.00301042920176494
2353,602,0.25584360390990224,0.14698671096345517,-0.04326499143346659,0.0771851810017042,0.1903876542482953,0.4054106412858191,0.005409689757756055
2490,660,0.26506024096385544,0.14578636363636363,-0.05197049180327869,0.06894901423877328,0.19480330962403833,0.35394169827936595,0.0004469879518072284
2361,635,0.2689538331215587,0.12229606299212599,-0.04697508690614136,0.055063110853201806,0.19661766877077944,0.2800516921874169,-0.0014489623041084286
2456,640,0.26058631921824105,0.1609078125,-0.05306497797356829,0.07974046722312703,0.19268108945453002,0.4138468774951817,0.002693403908794788
2376,669,0.2815656565656566,0.15675635276532135,-0.0531851200937317,0.07440913054309914,0.20228643760840734,0.3678404317304888,0.005927188552188552
2533,641,0.25305961310698777,0.14550702028081122,-0.05024471458773785,0.07115526347070462,0.1890204453211294,0.376442153386201,-0.0007078562968811697
2399,626,0.26094205919132973,0.11196964856230031,-0.05210659898477157,0.04424226215129573,0.1928513009363183,0.22941127146404383,-0.009292205085452273
2451,639,0.2607099143206854,0.14370735524256653,-0.050885209713024286,0.06862249192147309,0.19274025489558627,0.35603611689030995,-0.0001529987760097923
2366,619,0.26162299239222314,0.14051857835218093,-0.05318660560961649,0.06448392070213865,0.19317640224396193,0.3338084773972656,-0.0025088757396449727
2433,663,0.2725030826140567,0.12575113122171944,-0.046529378531073445,0.05763358087235651,0.1982451525798933,0.29071873951182753,0.000417591450883682
2397,687,0.28660826032540676,0.14214410480349343,-0.05204385964912281,0.0642767706357838,0.20446396543865064,0.3143672309097909,0.0036120150187734673
2510,592,0.2358565737051793,0.1488885135135135,-0.05336287799791449,0.07299528642188004,0.18022825034523263,0.4050157857164755,-0.005660557768924304
2391,663,0.27728983688833125,0.1424977375565611,-0.04831886574074074,0.06806402781168447,0.2004001832467739,0.33964054677470057,0.004592639063153492
2557,624,0.24403597966366836,0.15586057692307692,-0.05167459906880496,0.07876085068138744,0.184482420293262,0.4269287586111753,-0.0010285490809542445
2528,647,0.25593354430379744,0.15362442040185473,-0.05281977671451356,0.07500535394615852,0.1904315652038936,0.3938703852265819,1.621835443037989e-05
2370,634,0.26751054852320677,0.17034069400630913,-0.054464285714285715,0.08487824674892516,0.19594865495201977,0.43316575339447244,0.005673417721518988
